Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,CO,Canoe Paddling,0,0,0,0
2018/2019,CO,Competitive Spirit* (Boys who cheer/Girls who cheer),69,186,181,4825
2018/2019,CO,Crew,0,0,0,0
2018/2019,CO,Cross Country,247,245,4122,4001
2018/2019,CO,Cycling,0,0,0,0
2018/2019,CO,Dance,0,0,0,0
2018/2019,CO,Dance/Drill,0,0,0,0
2018/2019,CO,"Dance Team, High Kick",0,0,0,0
2018/2019,CO,"Dance Team, Jazz",0,0,0,0
2018/2019,CO,Decathlon,0,0,0,0
2018/2019,CO,Drill Team,0,0,0,0
2018/2019,CO,Equestrian,0,0,0,0
2018/2019,CO,Fencing,0,0,0,0
2018/2019,CO,Field Hockey,0,15,0,636
2018/2019,CO,Figure Skating,0,0,0,0
2018/2019,CO,Flag Football,0,0,0,0
2018/2019,CO,Football -- 11-Player,222,0,15593,141
2018/2019,CO,Football -- 6-player,37,0,543,9
2018/2019,CO,Football -- 8-player,38,0,751,8
2018/2019,CO,Football -- 9-player,0,0,0,0
2018/2019,CO,Golf,196,177,2167,1541
2018/2019,CO,Gymnastics,0,43,0,532
2018/2019,CO,Heptathlon,0,0,0,0
2018/2019,CO,Ice Hockey,65,0,1042,22
2018/2019,CO,Judo,0,0,0,0
2018/2019,CO,Kayaking,0,0,0,0
2018/2019,CO,Lacrosse,113,85,3179,1534
2018/2019,CO,Martial Arts,0,0,0,0
2018/2019,CO,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,CO,Mt. Biking,0,0,0,0
2018/2019,CO,Native Youth Olympics,0,0,0,0
2018/2019,CO,Riflery,0,0,0,0
2018/2019,CO,Rock Climbing,0,0,0,0
2018/2019,CO,Rodeo,0,0,0,0
2018/2019,CO,Roller Hockey,0,0,0,0
2018/2019,CO,Rugby,0,0,0,0
2018/2019,CO,Rythmic Gymnastics,0,0,0,0
2018/2019,CO,Sailing,0,0,0,0
2018/2019,CO,Sand Volleyball,0,0,0,0
2018/2019,CO,Skiing -- Alpine,14,14,135,171
2018/2019,CO,Skiing -- Cross Country,14,14,112,103
2018/2019,CO,Snowboarding,0,0,0,0
2018/2019,CO,Soccer,230,233,8241,6829
2018/2019,CO,Softball -- Fast Pitch,0,252,0,4164
2018/2019,CO,Softball -- Slow Pitch,0,0,0,0
2018/2019,CO,Soft Tennis,0,0,0,0
2018/2019,CO,Squash,0,0,0,0
2018/2019,CO,Surfing,0,0,0,0
2018/2019,CO,Swimming & Diving,127,155,1722,4600
2018/2019,CO,Synchronized Swimming,0,0,0,0
2018/2019,CO,Team Tennis,0,0,0,0
2018/2019,CO,Tennis,62,185,3083,4053
2018/2019,CO,Track and Field -- Indoor,0,0,0,0
2018/2019,CO,Track and Field -- Outdoor,298,300,10243,7621
2018/2019,CO,Trap Shooting,0,0,0,0
2018/2019,CO,Ultimate Frisbee,0,0,0,0
2018/2019,CO,Unified Basketball,0,0,0,0
2018/2019,CO,Unified Flag Football,0,0,0,0
2018/2019,CO,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,CO,Volleyball,0,323,0,11672
2018/2019,CO,Water Polo,0,0,0,0
2018/2019,CO,Weight Lifting,0,0,0,0
2018/2019,CO,Wrestling,235,0,5290,140
2018/2019,CT,Adapted Basketball,0,0,0,0
2018/2019,CT,Adapted Bocce - Indoor,0,0,0,0
2018/2019,CT,Adapted Bowling,0,0,0,0
2018/2019,CT,Adapted Floor Hockey,0,0,0,0
2018/2019,CT,Adapted Football,0,0,0,0
2018/2019,CT,Adapted Soccer,0,0,0,0
2018/2019,CT,Adapted Softball,0,0,0,0
2018/2019,CT,Adapted Track,0,0,0,0
2018/2019,CT,Adapted Volleyball,0,0,0,0
2018/2019,CT,Adaptive Corn Toss,0,0,0,0
2018/2019,CT,Adaptive Golf,0,0,0,0
2018/2019,CT,Adaptive Handball,0,0,0,0
2018/2019,CT,Adaptive Strength Training,0,0,0,0
2018/2019,CT,Adaptive Tennis,0,0,0,0
2018/2019,CT,Air Riflery,0,0,0,0
2018/2019,CT,Archery,0,0,0,0
2018/2019,CT,Badminton,0,0,0,0
2018/2019,CT,Baseball,177,0,5663,17
2018/2019,CT,Basketball,183,181,5349,3718
2018/2019,CT,Bass Fishing,0,0,0,0
2018/2019,CT,Beach Volleyball,0,0,0,0
2018/2019,CT,Bocce - Outdoor,0,0,0,0
2018/2019,CT,Bowling,0,0,0,0
2018/2019,CT,Canoe Paddling,0,0,0,0
